,Team,League,W,L,Runs For,Runs Against,RF2,RA2,WP,EWP,Diff
14,Baltimore Orioles,AL,81,81,713,693,508369,480249,0.5,0.5142218733626133,-0.014221873362613269
11,Boston Red Sox,AL,78,84,748,753,559504,567009,0.48148148148148145,0.4966689243710459,-0.015187442889564418
9,Chicago White Sox,AL,76,86,622,701,386884,491401,0.4691358024691358,0.44049938231895114,0.02863642015018464
15,Cleveland Indians,AL,81,80,669,640,447561,409600,0.5031055900621118,0.5221434479636847,-0.019037857901572974
8,Detroit Tigers,AL,74,87,689,803,474721,644809,0.45962732919254656,0.4240359793842059,0.035591349808340667
20,Houston Astros,AL,86,76,729,618,531441,381924,0.5308641975308642,0.5818495344139528,-0.050985336883088594
26,Kansas City Royals,AL,95,67,724,641,524176,410881,0.5864197530864198,0.5605818682711321,0.025837884815287704
19,Los Angeles Angels,AL,85,77,661,675,436921,455625,0.5246913580246914,0.48952210866442736,0.035169249360264
16,Minnesota Twins,AL,83,79,696,700,484416,490000,0.5123456790123457,0.4971346940115926,0.01521098500075313
21,New York Yankees,AL,87,75,764,698,583696,487204,0.5370370370370371,0.5450518255672798,-0.008014788530242734
5,Oakland Athletics,AL,68,94,694,729,481636,531441,0.41975308641975306,0.47541894643743765,-0.05566586001768459
10,Seattle Mariners,AL,76,86,656,726,430336,527076,0.4691358024691358,0.44947838548085883,0.019657416988276943
13,Tampa Bay Rays,AL,80,82,644,642,414736,412164,0.49382716049382713,0.5015552061918007,-0.0077280456979735845
22,Texas Rangers,AL,88,74,751,733,564001,537289,0.5432098765432098,0.5121275958194481,0.031082280723761735
25,Toronto Blue Jays,AL,93,69,891,670,793881,448900,0.5740740740740741,0.6387939628945084,-0.06471988882043433
12,Arizona Diamondbacks,NL,79,83,720,713,518400,508369,0.4876543209876543,0.5048847403846435,-0.01723041939698916
2,Atlanta Braves,NL,67,95,573,760,328329,577600,0.41358024691358025,0.36242244149375946,0.05115780541982079
27,Chicago Cubs,NL,97,65,689,608,474721,369664,0.5987654320987654,0.5622091818305631,0.036556250268202306
1,Cincinnati Reds,NL,64,98,641,754,410881,568516,0.3950617283950617,0.4195244625009062,-0.024462734105844486
3,Colorado Rockies,NL,68,94,737,844,543169,712336,0.41975308641975306,0.4326298979295184,-0.012876811509765329
24,Los Angeles Dodgers,NL,92,70,667,595,444889,354025,0.5679012345679012,0.5568671972202265,0.011034037347674719
6,Miami Marlins,NL,71,91,613,678,375769,459684,0.4382716049382716,0.44977874278983976,-0.01150713785156815
4,Milwaukee Brewers,NL,68,94,655,738,429025,544644,0.41975308641975306,0.44062715358093973,-0.02087406716118667
23,New York Mets,NL,90,72,683,613,466489,375769,0.5555555555555556,0.5538552320072947,0.0017003235482608847
0,Philadelphia Phillies,NL,63,99,626,809,391876,654481,0.3888888888888889,0.3745146255054441,0.014374263383444774
28,Pittsburgh Pirates,NL,98,64,697,596,485809,355216,0.6049382716049383,0.5776391902737731,0.02729908133116521
7,San Diego Padres,NL,74,88,650,731,422500,534361,0.4567901234567901,0.4415479364296382,0.01524218702715191
18,San Francisco Giants,NL,84,78,696,627,484416,393129,0.5185185185185185,0.5520127172965489,-0.03349419877803039
29,St. Louis Cardinals,NL,100,62,647,525,418609,275625,0.6172839506172839,0.6029796869643377,0.014304263652946236
17,Washington Nationals,NL,83,79,703,635,494209,403225,0.5123456790123457,0.5506911928899507,-0.038345513877604986
