Team,League,W,L,Runs For,Runs Against
Philadelphia Phillies,NL,63,99,626,809
Cincinnati Reds,NL,64,98,641,754
Atlanta Braves,NL,67,95,573,760
Colorado Rockies,NL,68,94,737,844
Milwaukee Brewers,NL,68,94,655,738
Oakland Athletics,AL,68,94,694,729
Miami Marlins,NL,71,91,613,678
San Diego Padres,NL,74,88,650,731
Detroit Tigers,AL,74,87,689,803
Chicago White Sox,AL,76,86,622,701
Seattle Mariners,AL,76,86,656,726
Boston Red Sox,AL,78,84,748,753
Arizona Diamondbacks,NL,79,83,720,713
Tampa Bay Rays,AL,80,82,644,642
Baltimore Orioles,AL,81,81,713,693
Cleveland Indians,AL,81,80,669,640
Minnesota Twins,AL,83,79,696,700
Washington Nationals,NL,83,79,703,635
San Francisco Giants,NL,84,78,696,627
Los Angeles Angels,AL,85,77,661,675
Houston Astros,AL,86,76,729,618
New York Yankees,AL,87,75,764,698
Texas Rangers,AL,88,74,751,733
New York Mets,NL,90,72,683,613
Los Angeles Dodgers,NL,92,70,667,595
Toronto Blue Jays,AL,93,69,891,670
Kansas City Royals,AL,95,67,724,641
Chicago Cubs,NL,97,65,689,608
Pittsburgh Pirates,NL,98,64,697,596
St. Louis Cardinals,NL,100,62,647,525
