,Team,League,W,L,RF,RA,DR,WP,RF2,RA2,DR2,EWP,Diff
0,Philadelphia Phillies,NL,63,99,626,809,-183,0.3888888888888889,391876,654481,-262605,0.3745146255054441,0.014374263383444774
1,Cincinnati Reds,NL,64,98,641,754,-113,0.3950617283950617,410881,568516,-157635,0.4195244625009062,-0.024462734105844486
2,Atlanta Braves,NL,67,95,573,760,-187,0.41358024691358025,328329,577600,-249271,0.36242244149375946,0.05115780541982079
4,Milwaukee Brewers,NL,68,94,655,738,-83,0.41975308641975306,429025,544644,-115619,0.44062715358093973,-0.02087406716118667
3,Colorado Rockies,NL,68,94,737,844,-107,0.41975308641975306,543169,712336,-169167,0.4326298979295184,-0.012876811509765329
5,Oakland Athletics,AL,68,94,694,729,-35,0.41975308641975306,481636,531441,-49805,0.47541894643743765,-0.05566586001768459
6,Miami Marlins,NL,71,91,613,678,-65,0.4382716049382716,375769,459684,-83915,0.44977874278983976,-0.01150713785156815
7,San Diego Padres,NL,74,88,650,731,-81,0.4567901234567901,422500,534361,-111861,0.4415479364296382,0.01524218702715191
8,Detroit Tigers,AL,74,87,689,803,-114,0.45962732919254656,474721,644809,-170088,0.4240359793842059,0.035591349808340667
9,Chicago White Sox,AL,76,86,622,701,-79,0.4691358024691358,386884,491401,-104517,0.44049938231895114,0.02863642015018464
10,Seattle Mariners,AL,76,86,656,726,-70,0.4691358024691358,430336,527076,-96740,0.44947838548085883,0.019657416988276943
11,Boston Red Sox,AL,78,84,748,753,-5,0.48148148148148145,559504,567009,-7505,0.4966689243710459,-0.015187442889564418
12,Arizona Diamondbacks,NL,79,83,720,713,7,0.4876543209876543,518400,508369,10031,0.5048847403846435,-0.01723041939698916
13,Tampa Bay Rays,AL,80,82,644,642,2,0.49382716049382713,414736,412164,2572,0.5015552061918007,-0.0077280456979735845
14,Baltimore Orioles,AL,81,81,713,693,20,0.5,508369,480249,28120,0.5142218733626133,-0.014221873362613269
15,Cleveland Indians,AL,81,80,669,640,29,0.5031055900621118,447561,409600,37961,0.5221434479636847,-0.019037857901572974
17,Washington Nationals,NL,83,79,703,635,68,0.5123456790123457,494209,403225,90984,0.5506911928899507,-0.038345513877604986
16,Minnesota Twins,AL,83,79,696,700,-4,0.5123456790123457,484416,490000,-5584,0.4971346940115926,0.01521098500075313
18,San Francisco Giants,NL,84,78,696,627,69,0.5185185185185185,484416,393129,91287,0.5520127172965489,-0.03349419877803039
19,Los Angeles Angels,AL,85,77,661,675,-14,0.5246913580246914,436921,455625,-18704,0.48952210866442736,0.035169249360264
20,Houston Astros,AL,86,76,729,618,111,0.5308641975308642,531441,381924,149517,0.5818495344139528,-0.050985336883088594
21,New York Yankees,AL,87,75,764,698,66,0.5370370370370371,583696,487204,96492,0.5450518255672798,-0.008014788530242734
22,Texas Rangers,AL,88,74,751,733,18,0.5432098765432098,564001,537289,26712,0.5121275958194481,0.031082280723761735
23,New York Mets,NL,90,72,683,613,70,0.5555555555555556,466489,375769,90720,0.5538552320072947,0.0017003235482608847
24,Los Angeles Dodgers,NL,92,70,667,595,72,0.5679012345679012,444889,354025,90864,0.5568671972202265,0.011034037347674719
25,Toronto Blue Jays,AL,93,69,891,670,221,0.5740740740740741,793881,448900,344981,0.6387939628945084,-0.06471988882043433
26,Kansas City Royals,AL,95,67,724,641,83,0.5864197530864198,524176,410881,113295,0.5605818682711321,0.025837884815287704
27,Chicago Cubs,NL,97,65,689,608,81,0.5987654320987654,474721,369664,105057,0.5622091818305631,0.036556250268202306
28,Pittsburgh Pirates,NL,98,64,697,596,101,0.6049382716049383,485809,355216,130593,0.5776391902737731,0.02729908133116521
29,St. Louis Cardinals,NL,100,62,647,525,122,0.6172839506172839,418609,275625,142984,0.6029796869643377,0.014304263652946236
